rank,suburb,median_value_aud
 776,Canley Heights,"$789,000"
 777,Jerrabomberra,"$788,900"
 778,Gwynneville,"$788,000"
 779,King Creek,"$787,300"
 780,Wendoree Park,"$786,600"
 781,Marsden Park,"$786,200"
 782,Saratoga,"$786,000"
 783,Silverwater,"$785,600"
 784,Claymore,"$785,000"
 785,Figtree,"$783,700"
 786,Ebenezer,"$783,600"
 787,Green Valley,"$783,400"
 788,New Lambton,"$783,000"
 788,Wyee,"$783,000"
 790,Guildford,"$781,800"
 791,Dunbible,"$781,000"
 792,Bexhill,"$780,000"
 792,Burra,"$780,000"
 792,Magenta,"$780,000"
 795,Clunes,"$779,700"
 796,Nords Wharf,"$779,300"
 797,Fishing Point,"$779,000"
 798,Camden Head,"$776,300"
 799,Regents Park,"$776,000"
 800,Uralba,"$775,300"
 801,Angourie,"$775,200"
 802,Mount Kembla,"$775,000"
 803,Yellow Rock,"$774,900"
 804,Cudgen,"$774,700"
 805,Greenfield Park,"$774,300"
 806,Prospect,"$773,300"
 807,South Ballina,"$771,600"
 808,Woy Woy Bay,"$770,000"
 809,Garden Suburb,"$769,500"
 810,Redbank,"$768,300"
 811,Yerrinbool,"$767,800"
 812,Kurmond,"$767,500"
 813,Picton,"$766,800"
 814,Merrylands West,"$766,700"
 815,Cheero Point,"$766,600"
 815,Condong,"$766,600"
 815,Tuckombil,"$766,600"
 818,Corrimal,"$764,800"
 819,Booker Bay,"$763,000"
 820,Wetherill Park,"$762,500"
 821,Birrong,"$761,800"
 822,Port Kembla,"$761,700"
 823,Blaxland,"$759,700"
 824,East Jindabyne,"$759,600"
 825,Valentine,"$758,400"
 826,Colo Vale,"$758,000"
 827,Claremont Meadows,"$757,200"
 828,Mitchells Flat,"$756,600"
 828,Sapphire Beach,"$756,600"
 830,Ettalong Beach,"$755,400"
 831,Horsfield Bay,"$755,200"
 832,Moss Vale,"$755,000"
 833,Fairy Meadow,"$754,500"
 834,Bensville,"$754,200"
 835,Black Head,"$753,600"
 836,Quakers Hill,"$753,300"
 836,Windera,"$753,300"
 838,Green Point,"$752,800"
 839,Murrays Beach,"$752,500"
 840,Dum Dum,"$751,600"
 841,Primbee,"$751,200"
 842,Glenmore Park,"$750,100"
 843,Guerilla Bay,"$750,000"
 844,Pambula Beach,"$749,800"
 845,Meerschaum Vale,"$749,100"
 846,Whitebridge,"$747,900"
 847,Little Hartley,"$747,800"
 847,Prestons,"$747,800"
 849,Coolagolite,"$746,300"
 849,Valla,"$746,300"
 851,Fairfield West,"$745,800"
 852,Crescent Head,"$744,800"
 853,Emu Plains,"$743,900"
 854,Mittagong,"$742,700"
 855,Tighes Hill,"$742,100"
 856,Oran Park,"$741,800"
 857,Renwick,"$741,000"
 857,Tweed Heads,"$741,000"
 859,Appin,"$740,700"
 859,Guildford West,"$740,700"
 861,Forest Reefs,"$740,600"
 862,Casula,"$740,400"
 863,McGraths Hill,"$739,300"
 864,Korora,"$738,900"
 865,Hammondville,"$738,800"
 866,Seven Hills,"$738,200"
 867,Tarrawanna,"$736,900"
 868,Fingal Bay,"$736,500"
 869,Bungendore,"$736,400"
 870,Failford,"$735,500"
 871,Fairfield,"$735,400"
 872,Ocean Shores,"$734,000"
 873,Mount Keira,"$733,800"
 874,Sawtell,"$733,500"
 875,East Bowral,"$732,700"
 875,Hinchinbrook,"$732,700"
 877,Riverstone,"$732,200"
 878,Pearces Creek,"$732,100"
 879,Fullerton Cove,"$731,500"
 880,Woodcroft,"$731,100"
 881,Kings Point,"$731,000"
 882,Sunshine,"$730,700"
 883,Fitzroy Falls,"$730,600"
 884,Tumbi Umbi,"$730,400"
 885,Speers Point,"$730,300"
 886,Pelican,"$728,500"
 887,Austral,"$728,200"
 888,Wooloweyah,"$728,100"
 889,Rosedale,"$727,500"
 890,Jeremadra,"$727,000"
 891,Blair Athol,"$726,500"
 892,Bateau Bay,"$726,400"
 893,Springvale,"$726,200"
 894,Willow Vale,"$725,000"
 895,Mount Riverview,"$724,800"
 896,Hinton,"$723,800"
 897,Minchinbury,"$723,300"
 898,Erskine Park,"$723,200"
 899,Springwood,"$723,000"
 900,Googong,"$722,600"
 901,Murray Downs,"$721,600"
 901,Table Top,"$721,600"
 903,Mirrabooka,"$721,100"
 904,Cobaki,"$721,000"
 905,Liverpool,"$720,900"
 906,Elrington,"$720,600"
 907,Pottsville,"$720,200"
 908,Glenning Valley,"$719,500"
 909,Smithfield,"$719,200"
 909,Springfield,"$719,200"
 911,Erina,"$719,000"
 911,Mount Annan,"$719,000"
 913,Old Guildford,"$718,100"
 914,Lansvale,"$718,000"
 915,Point Clare,"$717,800"
 915,Tomakin,"$717,800"
 917,Leconfield,"$717,500"
 918,Adamstown,"$717,400"
 919,Bargo,"$716,700"
 920,Flinders,"$716,500"
 921,Hamilton,"$716,200"
 922,Kilaben Bay,"$716,100"
 923,Michelago,"$716,000"
 924,Eagleton,"$715,000"
 924,Lovedale,"$715,000"
 926,Cabramatta,"$713,900"
 927,O'connell,"$713,700"
 928,Nelson Bay,"$713,600"
 929,Tomerong,"$712,800"
 930,Terranora,"$710,900"
 930,Umina Beach,"$710,900"
 932,Lisarow,"$710,400"
 933,Emerald Beach,"$710,200"
 934,Agnes Banks,"$710,000"
 934,Kings Park,"$710,000"
 934,Marrangaroo,"$710,000"
 937,Gunderman,"$709,000"
 938,Bilambil,"$708,300"
 938,Wattle Ponds,"$708,300"
 940,Moonee Beach,"$706,700"
 941,Welby,"$706,600"
 942,Linden,"$706,500"
 943,Bardia,"$705,300"
 944,Richmond Hill,"$705,000"
 945,Wakeley,"$704,100"
 946,Borenore,"$703,800"
 947,Fernhill,"$703,700"
 948,Bonnyrigg,"$703,500"
 948,Jordan Springs,"$703,500"
 950,Richmond,"$703,100"
 951,Mount Hunter,"$703,000"
 952,East Gosford,"$702,100"
 953,Milton,"$702,000"
 954,Woodpark,"$701,600"
 955,Thirlmere,"$701,500"
 956,Elderslie,"$701,200"
 957,Hawkesbury Heights,"$701,100"
 958,Vacy,"$701,000"
 959,Glossodia,"$700,800"
 960,Buttaba,"$700,500"
 960,Tea Gardens,"$700,500"
 962,Bullaburra,"$699,800"
 963,Narrawallee,"$699,200"
 964,The Entrance North,"$698,600"
 965,Conjola Park,"$698,300"
 965,Seaham,"$698,300"
 967,Wongawilli,"$697,900"
 968,Bellambi,"$697,400"
 969,Cumbalum,"$696,700"
 970,Keith Hall,"$696,600"
 971,Bolwarra,"$695,600"
 972,Wentworth Falls,"$695,300"
 973,Spring Farm,"$695,200"
 974,Mount Pritchard,"$694,600"
 975,Duns Creek,"$694,500"
 976,Glenfield,"$694,100"
 977,Hoxton Park,"$694,000"
 978,Balmoral,"$693,900"
 979,Fern Bay,"$693,800"
 980,East Seaham,"$693,300"
 980,Tacoma South,"$693,300"
 980,Warnervale,"$693,300"
 983,Gregory Hills,"$693,200"
 984,North Richmond,"$693,000"
 985,West Wollongong,"$692,800"
 986,Llandilo,"$692,700"
 987,Wallalong,"$691,600"
 988,Kincumber,"$691,300"
 989,Cunjurong Point,"$691,100"
 990,Winmalee,"$690,600"
 991,Bulga,"$690,000"
 991,Ourimbah,"$690,000"
 993,Bellingen,"$689,400"
 993,Villawood,"$689,400"
 995,Bucca,"$689,300"
 996,Brunkerville,"$689,100"
 996,Williamtown,"$689,100"
 998,Dora Creek,"$688,800"
 999,Blacksmiths,"$688,400"
 1000,Upper MacDonald,"$688,300"
 1001,Corrimal East,"$687,600"
 1002,Fairfield East,"$687,200"
 1003,Couridjah,"$686,600"
 1004,Emu Heights,"$686,400"
 1005,Windsor,"$686,300"
 1006,Long Beach,"$686,200"
 1007,Blacktown,"$685,200"
 1008,Mollymook,"$684,900"
 1009,Monaltrie,"$683,300"
 1009,North Tumbulgum,"$683,300"
 1011,Camden,"$682,700"
 1012,Safety Beach,"$682,500"
 1013,Bolwarra Heights,"$681,800"
 1013,Lake Conjola,"$681,800"
 1015,Yass River,"$681,700"
 1016,Koolewong,"$681,000"
 1017,St Clair,"$679,300"
 1018,Calderwood,"$678,000"
 1019,Woodbine,"$677,800"
 1020,Windang,"$677,200"
 1021,Elizabeth Beach,"$677,000"
 1022,Oxley Island,"$676,600"
 1023,Wickham,"$676,100"
 1024,Kurrajong Heights,"$676,000"
 1025,Chisholm,"$675,500"
 1026,Berrara,"$675,000"
 1027,Arding,"$674,600"
 1028,Gilead,"$674,300"
 1028,Logans Crossing,"$674,300"
 1030,Yanderra,"$674,200"
 1031,Nunderi,"$672,300"
 1032,Lake Cathie,"$672,200"
 1033,Lorn,"$671,800"
 1034,Bombira,"$671,600"
 1035,Dunbogan,"$671,400"
 1036,Pumpenbil,"$671,300"
 1037,Morisset Park,"$671,100"
 1038,Camden South,"$670,600"
 1039,Kembla Grange,"$670,400"
 1040,Empire Vale,"$670,000"
 1040,Stokers Siding,"$670,000"
 1042,Valley Heights,"$669,300"
 1043,Horsley,"$665,800"
 1044,Narellan Vale,"$665,000"
 1045,Long Jetty,"$663,500"
 1046,Belmont,"$663,400"
 1047,North Arm,"$663,300"
 1047,North Shore,"$663,300"
 1049,Lambton,"$663,100"
 1050,Hamilton North,"$660,800"
 1050,Myola,"$660,800"
 1052,Congo,"$659,300"
 1053,Faulconbridge,"$658,700"
 1053,Mullaway,"$658,700"
 1055,Jewells,"$658,600"
 1056,Woongarrah,"$658,500"
 1057,Repton,"$657,800"
 1058,Farmborough Heights,"$657,500"
 1059,Carrington,"$657,100"
 1060,Wangi Wangi,"$656,800"
 1061,Blackheath,"$656,100"
 1062,Brierfield,"$655,100"
 1063,Glendenning,"$655,000"
 1064,Warners Bay,"$654,400"
 1065,Tallong,"$653,500"
 1066,Culburra Beach,"$653,300"
 1067,Bonny Hills,"$653,000"
 1068,South Penrith,"$652,700"
 1069,Jamisontown,"$652,600"
 1070,Medway,"$651,600"
 1070,Woollamia,"$651,600"
 1072,Ashcroft,"$650,500"
 1073,Kariong,"$650,400"
 1074,Doonside,"$650,000"
 1074,Patchs Beach,"$650,000"
 1076,Kotara,"$649,400"
 1076,Woodford,"$649,400"
 1078,Fletcher,"$649,100"
 1079,Jindabyne,"$648,700"
 1080,Broadmeadow,"$647,600"
 1081,Bingie,"$647,500"
 1081,Currarong,"$647,500"
 1083,Plumpton,"$647,200"
 1084,Waramanga,"$647,100"
 1085,Yennora,"$646,600"
 1086,Pokolbin,"$645,800"
 1087,Oakdale,"$645,500"
 1088,Carey Bay,"$645,200"
 1089,Eastern Creek,"$645,100"
 1090,Rooty Hill,"$645,000"
 1090,Scotts Head,"$645,000"
 1092,Cumberland Reach,"$643,300"
 1093,Awaba,"$641,300"
 1094,Lower Portland,"$641,000"
 1095,Marayong,"$640,500"
 1096,Kahibah,"$640,300"
 1097,Coniston,"$640,200"
 1098,Blairmount,"$640,000"
 1098,Burringbar,"$640,000"
 1100,Lalor Park,"$639,700"
 1101,Banora Point,"$639,600"
 1102,Tascott,"$638,800"
 1103,Graman,"$638,300"
 1104,Crowdy Head,"$637,300"
 1105,Turlinjah,"$637,200"
 1106,Bonnells Bay,"$636,600"
 1106,Piggabeen,"$636,600"
 1108,Narellan,"$636,400"
 1109,Grabben Gullen,"$636,200"
 1110,Currans Hill,"$636,100"
 1111,Werrington County,"$635,500"
 1112,Woy Woy,"$635,300"
 1113,Caniaba,"$635,000"
 1114,Dean Park,"$634,800"
 1115,Cranebrook,"$634,100"
 1116,Mardi,"$633,800"
 1117,Largs,"$633,700"
 1118,Boydtown,"$633,300"
 1118,Hat Head,"$633,300"
 1118,North Wollongong,"$633,300"
 1121,Hallidays Point,"$633,200"
 1122,Oak Flats,"$633,000"
 1122,Yarramalong,"$633,000"
 1124,Evans Head,"$632,800"
 1125,Sussex Inlet,"$632,700"
 1126,Narara,"$631,800"
 1126,Rivett,"$631,800"
 1128,Cams Wharf,"$631,700"
 1128,Rankin Park,"$631,700"
 1130,Araluen,"$631,600"
 1131,Cameron Park,"$631,500"
 1132,Ropes Crossing,"$631,000"
 1133,North Haven,"$630,800"
 1134,Lindendale,"$630,000"
 1135,Carramar,"$629,900"
 1136,Bligh Park,"$629,800"
 1137,Warrimoo,"$629,200"
 1138,Morton,"$629,100"
 1139,Kearns,"$628,500"
 1140,Collector,"$627,500"
 1140,Kangy Angy,"$627,500"
 1142,Upper Orara,"$627,000"
 1143,West Ballina,"$625,700"
 1144,Bowen Mountain,"$625,500"
 1145,St Andrews,"$625,400"
 1146,Lurnea,"$625,300"
 1147,Ingleburn,"$625,000"
 1148,Islington,"$624,700"
 1149,Lochiel,"$624,600"
 1150,Greenwell Point,"$623,900"
 1151,Albion Park,"$623,100"
 1152,Katoomba,"$622,700"
 1153,Palmers Island,"$622,500"
 1154,Tullimbar,"$620,900"
 1155,Blackwall,"$620,800"
 1156,Arakoon,"$620,200"
 1157,Pimlico,"$620,000"
 1157,Werrington Downs,"$620,000"
 1159,Bonville,"$619,800"
 1160,Cambewarra Village,"$619,300"
 1160,Teven,"$619,300"
 1162,Durras North,"$619,100"
 1163,Cambridge Gardens,"$618,300"
 1164,Kotara South,"$617,800"
 1165,Paterson,"$617,600"
 1166,Floraville,"$616,800"
 1167,Brooms Head,"$616,300"
 1168,Shoalhaven Heads,"$616,200"
 1169,Broulee,"$615,600"
 1170,Alstonville,"$615,400"
 1171,Chinderah,"$615,300"
 1172,Cardiff Heights,"$615,200"
 1173,The Entrance,"$615,000"
 1173,Wandandian,"$615,000"
 1175,Blackbutt,"$614,200"
 1176,Bermagui,"$613,900"
 1177,Busby,"$613,400"
 1178,Lewis Ponds,"$613,300"
 1179,Tathra,"$612,900"
 1180,Boomerang Beach,"$612,300"
 1181,Bilambil Heights,"$611,500"
 1182,Oakhurst,"$611,300"
 1183,Shoal Bay,"$610,500"
 1183,Wallaga Lake,"$610,500"
 1185,Macquarie Hills,"$610,200"
 1186,Karangi,"$610,000"
 1187,Wadalba,"$609,500"
 1188,Charlestown,"$609,100"
 1189,Avondale,"$608,800"
 1190,Lake Innes,"$608,300"
 1191,Fennell Bay,"$608,000"
 1192,Minto,"$607,900"
 1193,Colyton,"$607,800"
 1194,Croudace Bay,"$607,100"
 1195,Heckenberg,"$607,000"
 1196,Highfields,"$606,700"
 1197,Wolumla,"$606,600"
 1198,Hassall Grove,"$606,400"
 1199,Callala Bay,"$605,900"
 1200,Warabrook,"$604,500"
 1201,Mount Druitt,"$604,400"
 1202,Aylmerton,"$604,300"
 1203,South Windsor,"$604,200"
 1204,Batehaven,"$603,600"
 1205,Palmers Channel,"$602,800"
 1205,Wallagoot,"$602,800"
 1207,Hamlyn Terrace,"$602,600"
 1208,Swansea,"$602,400"
 1209,Raby,"$602,300"
 1210,Ballina,"$600,400"
 1210,Chittaway Bay,"$600,400"
 1210,Port Macquarie,"$600,400"
 1213,Cooranbong,"$600,100"
 1214,Killarney Vale,"$600,000"
 1215,Marmong Point,"$599,300"
 1216,Terara,"$598,300"
 1216,Tura Beach,"$598,300"
 1218,Niagara Park,"$598,000"
 1219,Forster,"$597,900"
 1220,Glen Oak,"$597,600"
 1221,Cambewarra,"$597,400"
 1222,Billywillinga,"$596,600"
 1222,Boeill Creek,"$596,600"
 1222,Mount Saint Thomas,"$596,600"
 1222,Nashdale,"$596,600"
 1222,South Bowenfels,"$596,600"
 1222,Thrumster,"$596,600"
 1228,Lawson,"$594,300"
 1229,Georgetown,"$594,000"
 1230,Bow Bowing,"$593,600"
 1231,Arrawarra,"$593,300"
 1232,Tahmoor,"$593,200"
 1233,Wallabi Point,"$592,000"
 1234,Hobartville,"$591,900"
 1235,Hazelbrook,"$591,800"
 1236,Woodford Island,"$591,600"
 1237,Kingswood,"$590,500"
 1238,Taminda,"$590,300"
 1238,Woolgoolga,"$590,300"
 1240,Milsons Passage,"$590,000"
 1241,Smiths Lake,"$589,700"
 1242,Lochinvar,"$589,500"
 1243,Sunshine Bay,"$589,200"
 1244,Uki,"$589,000"
 1245,Penrith,"$588,500"
 1246,Central Tilba,"$588,400"
 1247,Saumarez Ponds,"$588,300"
 1248,Tumbulgum,"$587,600"
 1249,Wyoming,"$587,300"
 1250,Kanahooka,"$587,200"
 1251,Salt Ash,"$586,600"
 1252,Hill Top,"$586,100"
 1253,Minnie Water,"$586,000"
 1254,Belmont South,"$585,900"
 1255,James Creek,"$585,600"
 1256,Ulladulla,"$585,400"
 1257,Lake Illawarra,"$585,100"
 1258,Leumeah,"$584,700"
 1259,Warilla,"$584,300"
 1259,Wyrallah,"$584,300"
 1261,Colo Heights,"$583,300"
 1262,Urunga,"$582,600"
 1263,Clarence Town,"$582,400"
 1264,Balcolyn,"$582,200"
 1265,Rainbow Flat,"$581,300"
 1266,Medlow Bath,"$581,200"
 1266,Merimbula,"$581,200"
 1266,Morpeth,"$581,200"
 1269,Malua Bay,"$580,700"
 1270,Berkeley Vale,"$580,600"
 1271,Yamba,"$579,300"
 1272,Hillsborough,"$579,200"
 1273,St Helens Park,"$579,100"
 1274,Mayfield,"$578,700"
 1275,Macquarie Fields,"$578,500"
 1275,Ruse,"$578,500"
 1277,Bolton Point,"$578,400"
 1278,Hawks Nest,"$578,000"
 1279,Sadleir,"$577,200"
 1280,Medowie,"$576,900"
 1281,Tallwoods Village,"$576,600"
 1282,Anna Bay,"$575,100"
 1283,Mount Warrigal,"$574,800"
 1284,Noraville,"$574,500"
 1285,Tingira Heights,"$573,400"
 1286,Eagle Vale,"$573,100"
 1287,Minmi,"$573,000"
 1288,Cambridge Park,"$572,700"
 1289,Stony Chute,"$571,600"
 1289,Upsalls Creek,"$571,600"
 1291,Ashtonfield,"$571,500"
 1292,Newcastle West,"$571,100"
 1293,Moore Creek,"$570,000"
 1293,Oxley Park,"$570,000"
 1293,Yatte Yattah,"$570,000"
 1296,Burrill Lake,"$569,500"
 1297,Wirlinga,"$569,000"
 1297,Wooli,"$569,000"
 1299,Buxton,"$568,900"
 1300,Campbelltown,"$568,200"
 1301,North Lambton,"$567,000"
 1302,Waratah,"$566,700"
 1303,Mooball,"$566,600"
 1304,Surf Beach,"$566,400"
 1305,Summerland Point,"$566,000"
 1306,Karabar,"$565,700"
 1306,Tuggerawong,"$565,700"
 1308,Tanglewood,"$565,600"
 1309,Tuggerah,"$565,200"
 1310,Byabarra,"$565,000"
 1310,Corndale,"$565,000"
 1310,Sawyers Gully,"$565,000"
 1313,Woombah,"$564,900"
 1314,Eschol Park,"$564,300"
 1315,Nulkaba,"$563,300"
 1316,Dapto,"$563,000"
 1316,Rosewood,"$563,000"
 1318,Miller,"$562,800"
 1319,North Batemans Bay,"$562,100"
 1320,East Wardell,"$561,600"
 1320,Kielvale,"$561,600"
 1322,St Marys,"$561,500"
 1323,Lake Heights,"$561,300"
 1323,Mayfield East,"$561,300"
 1325,Wollongbar,"$561,100"
 1326,Branxton,"$560,600"
 1327,Bradbury,"$560,300"
 1327,Kioloa,"$560,300"
 1329,Chain Valley Bay,"$560,100"
 1330,Killingworth,"$560,000"
 1330,Rathmines,"$560,000"
 1332,North Gosford,"$559,300"
 1333,Boolaroo,"$558,100"
 1334,Georgica,"$557,600"
 1335,Raworth,"$557,100"
 1336,Cartwright,"$556,600"
 1337,Tuncurry,"$556,200"
 1338,Barrack Heights,"$556,000"
 1338,Kingfisher Shores,"$556,000"
 1338,Modanville,"$556,000"
 1341,Mylestom,"$553,800"
 1342,Eulomogo,"$553,700"
 1343,Erowal Bay,"$553,300"
 1344,Elermore Vale,"$552,700"
 1345,Englorie Park,"$552,500"
 1346,Kew,"$552,300"
 1347,Chilcotts Grass,"$552,100"
 1348,Thora,"$552,000"
 1349,Queanbeyan West,"$551,900"
 1350,Bald Hills,"$551,200"
 1351,Tweed Heads South,"$550,800"
 1352,New Italy,"$550,000"
 1353,Llanarth,"$549,600"
 1353,Warral,"$549,600"
 1355,Toukley,"$548,900"
 1356,New Berrima,"$548,700"
 1357,West Gosford,"$548,500"
 1358,Lakewood,"$547,700"
 1359,Bungonia,"$547,300"
 1360,Meroo Meadow,"$546,300"
 1361,Keerrong,"$545,000"
 1362,Millthorpe,"$544,300"
 1363,Nelligen,"$544,100"
 1364,Wyong,"$543,800"
 1365,Lake Haven,"$543,400"
 1366,Barrington,"$542,800"
 1367,Fernmount,"$542,500"
 1367,Morisset,"$542,500"
 1367,South Nowra,"$542,500"
 1370,Abercrombie,"$542,000"
 1371,Gulmarrad,"$541,800"
 1372,Castle Doyle,"$541,600"
 1372,Laguna,"$541,600"
 1374,Harrington,"$541,500"
 1375,Millfield,"$541,200"
 1376,Rocky Point,"$541,000"
 1377,Kalaru,"$540,300"
 1377,Orient Point,"$540,300"
 1379,Kundle Kundle,"$540,000"
 1380,Marks Point,"$538,800"
 1381,South Maitland,"$538,700"
 1382,Wingello,"$538,300"
 1383,South Gundurimba,"$538,000"
 1384,Ambarvale,"$537,800"
 1385,Gwandalan,"$537,600"
 1386,Cardiff South,"$536,900"
 1387,Aberglasslyn,"$536,800"
 1388,Werrington,"$536,400"
 1389,Manning Point,"$536,200"
 1390,Wyee Point,"$535,500"
 1391,Buckajo,"$535,000"
 1391,Tweed Heads West,"$535,000"
 1393,Diamond Beach,"$534,900"
 1394,Kincumber South,"$534,300"
 1395,Booragul,"$533,600"
 1396,Belmont North,"$533,300"
 1396,Tacoma,"$533,300"
 1398,Murwillumbah,"$532,800"
 1399,Manyana,"$532,300"
 1400,Thornton,"$532,100"
 1400,West Wallsend,"$532,100"
 1402,Unanderra,"$531,900"
 1403,Rosemeadow,"$531,800"
 1404,Kianga,"$531,700"
 1405,Waratah West,"$529,700"
 1406,Sandy Beach,"$529,500"
 1407,Shalvey,"$529,000"
 1408,Dalmeny,"$528,700"
 1408,North St Marys,"$528,700"
 1410,Iluka,"$528,200"
 1411,North Casino,"$527,600"
 1412,Moruya,"$527,400"
 1413,Mayfield West,"$527,000"
 1414,Maryland,"$526,800"
 1415,Hyland Park,"$526,700"
 1415,Maloneys Beach,"$526,700"
 1417,Mystery Bay,"$526,600"
 1418,Seahampton,"$526,100"
 1419,Holmesville,"$526,000"
 1420,Coffs Harbour,"$525,300"
 1421,Currawarna,"$524,800"
 1421,Windellama,"$524,800"
 1423,North Boambee Valley,"$524,700"
 1423,North Nowra,"$524,700"
 1425,Lower Macdonald,"$524,500"
 1426,Berkeley,"$524,000"
 1426,Cudmirrah,"$524,000"
 1428,Lake Tabourie,"$523,900"
 1429,Yass,"$522,800"
 1430,Ashby,"$522,000"
 1431,Hebersham,"$521,000"
 1432,Doyalson,"$520,300"
 1432,Koonorigan,"$520,300"
 1434,Wyongah,"$519,800"
 1435,Charmhaven,"$519,600"
 1436,Worrigee,"$518,700"
 1437,Barnsley,"$517,800"
 1438,Dharruk,"$517,700"
 1439,Ashby Heights,"$517,500"
 1440,Albion Park Rail,"$517,200"
 1441,Braidwood,"$517,000"
 1442,Queanbeyan East,"$516,800"
 1443,West Haven,"$516,600"
 1444,Mount Hutton,"$516,300"
 1445,Arcadia Vale,"$516,100"
 1446,Hampton,"$515,000"
 1447,Tullera,"$514,800"
 1448,Laggan,"$514,000"
 1449,Rollands Plains,"$513,300"
 1450,Buff Point,"$512,700"
 1451,St Georges Basin,"$512,600"
 1452,Girards Hill,"$512,500"
 1453,Yarrawonga Park,"$512,000"
 1454,Bourkelands,"$511,700"
 1454,Kanwal,"$511,700"
 1456,Cedar Party,"$511,600"
 1456,Glenthorne,"$511,600"
 1456,Kundabung,"$511,600"
 1459,Mulbring,"$511,000"
 1460,Nana Glen,"$509,300"
 1461,Burrell Creek,"$508,700"
 1462,Gillieston Heights,"$508,500"
 1463,Eglinton,"$508,300"
 1464,Old Bar,"$507,700"
 1465,Boambee East,"$507,600"
 1466,Braunstone,"$507,300"
 1467,Lake Wyangan,"$506,100"
 1468,Lake Munmorah,"$505,700"
 1469,Corindi Beach,"$505,600"
 1470,Warrawong,"$504,100"
 1471,Teralba,"$504,000"
 1472,South Pambula,"$503,200"
 1473,Gumma,"$503,000"
 1474,East Maitland,"$502,900"
 1475,Brownsville,"$502,400"
 1476,Budgewoi,"$502,300"
 1476,Toronto,"$502,300"
 1478,Moama,"$502,100"
 1479,Halekulani,"$501,900"
 1480,Chatsworth,"$501,600"
 1480,Taylors Beach,"$501,600"
 1482,Eden,"$501,400"
 1483,East Tamworth,"$501,000"
 1484,Wallsend,"$500,700"
 1485,Kelso,"$500,200"
 1486,Daruka,"$499,300"
 1487,Mount Victoria,"$499,200"
 1488,Cardiff,"$498,100"
 1489,Warragamba,"$497,300"
 1490,Blue Haven,"$496,900"
 1491,Swan Bay,"$496,600"
 1492,Crestwood,"$496,500"
 1493,Dyers Crossing,"$496,200"
 1494,Red Rock,"$496,000"
 1495,Donnellyville,"$495,300"
 1495,Mirador,"$495,300"
 1497,Blackett,"$494,300"
 1498,Blackalls Park,"$494,100"
 1499,Bray Park,"$493,800"
 1500,Queanbeyan,"$493,500"
 1501,Wisemans Ferry,"$493,300"
 1502,Albury,"$493,100"
 1503,Akolele,"$492,600"
 1504,Wardell,"$492,300"
 1505,Gosford,"$492,200"
 1506,Fassifern,"$491,500"
 1506,South Tacoma,"$491,500"
 1508,Ellalong,"$490,300"
 1509,Black Springs,"$490,000"
 1509,Wallarobba,"$490,000"
 1511,Weston,"$489,600"
 1512,Narooma,"$489,100"
 1513,Nimbin,"$488,500"
 1514,Glendale,"$488,000"
 1515,Lemon Tree Passage,"$487,800"
 1516,Catalina,"$487,200"
 1517,Beechwood,"$486,000"
 1517,Piallamore,"$486,000"
 1519,Dondingalong,"$484,000"
 1519,Fishermans Paradise,"$484,000"
 1521,Hunterview,"$483,300"
 1522,Birmingham Gardens,"$483,100"
 1523,Gobbagombalin,"$483,000"
 1524,Lanitza,"$481,600"
 1525,The Whiteman,"$481,300"
 1526,Sanctuary Point,"$481,200"
 1527,Bowenfels,"$480,000"
 1527,Little Plain,"$480,000"
 1527,Newee Creek,"$480,000"
 1530,Heddon Greta,"$479,500"
 1531,Mannering Park,"$479,400"
 1532,Denhams Beach,"$478,000"
 1532,Yarra,"$478,000"
 1534,Bomaderry,"$477,500"
 1535,Crosslands,"$477,300"
 1536,Laurieton,"$475,600"
 1536,Tintinhull,"$475,600"
 1538,Jesmond,"$475,100"
 1539,Boorooma,"$475,000"
 1540,Watanobbi,"$474,700"
 1541,North Rothbury,"$474,400"
 1542,Upper Lansdowne,"$473,300"
 1543,Emerton,"$473,200"
 1544,Lake Albert,"$473,000"
 1545,Carcoar,"$472,700"
 1546,Orange,"$472,500"
 1546,South West Rocks,"$472,500"
 1546,Windermere Park,"$472,500"
 1549,Goulburn,"$472,000"
 1550,Coomba,"$471,700"
 1551,Darawank,"$471,600"
 1552,Marulan,"$470,200"
 1553,Whalan,"$470,100"
 1554,Lawrence,"$469,700"
 1555,Tatton,"$466,500"
 1556,Tanilba Bay,"$465,600"
 1557,Mudgee,"$463,500"
 1558,Tuross Head,"$463,300"
 1559,Wagga Wagga,"$462,700"
 1560,Kalkite,"$462,500"
 1561,Lethbridge Park,"$462,200"
 1562,Windradyne,"$461,700"
 1563,Toormina,"$460,500"
 1564,Raleigh,"$460,000"
 1565,Tantonan,"$459,400"
 1566,Clarence,"$458,300"
 1567,Edgeworth,"$457,700"
 1568,Cringila,"$457,600"
 1569,Megan,"$456,600"
 1569,South Murwillumbah,"$456,600"
 1569,Tugrabakh,"$456,600"
 1572,Bidwill,"$456,300"
 1573,Nowra,"$454,800"
 1574,San Remo,"$454,500"
 1575,Candelo,"$454,300"
 1576,Wauchope,"$452,100"
 1577,Surfside,"$451,000"
 1578,Gorokan,"$450,800"
 1579,Oakhampton,"$450,600"
 1580,Lloyd,"$450,000"
 1580,West Nowra,"$450,000"
 1582,Berrambool,"$449,300"
 1583,Airds,"$448,900"
 1584,Pambula,"$448,500"
