rank,suburb,median_value_aud
 172,Middle Cove,"$1,835,000"
 173,Concord,"$1,832,700"
 174,Russell Lea,"$1,818,500"
 175,Concord West,"$1,817,400"
 176,Wilsons Creek,"$1,816,600"
 177,Kogarah Bay,"$1,814,300"
 178,Far Meadow,"$1,806,200"
 179,Gladesville,"$1,802,200"
 180,Maroota,"$1,790,000"
 181,Orchard Hills,"$1,786,000"
 182,Annandale,"$1,781,200"
 183,Dee Why,"$1,772,100"
 184,Huntleys Cove,"$1,772,000"
 185,Mulgoa,"$1,768,800"
 186,Burradoo,"$1,767,400"
 187,Chatswood West,"$1,765,300"
 188,Bella Vista,"$1,759,500"
 189,Windsor Downs,"$1,756,600"
 190,Glenorie,"$1,746,800"
 191,Rozelle,"$1,736,700"
 192,Kirkham,"$1,736,600"
 193,Cattai,"$1,731,600"
 194,Bilgola Plateau,"$1,730,700"
 195,Pleasure Point,"$1,730,000"
 196,Dural,"$1,726,900"
 197,Chifley,"$1,719,500"
 198,Oatley,"$1,715,200"
 199,Surry Hills,"$1,714,600"
 200,Holgate,"$1,713,700"
 201,North Wahroonga,"$1,711,600"
 202,Point Frederick,"$1,710,200"
 203,Lilyfield,"$1,706,700"
 204,Taren Point,"$1,706,400"
 205,Epping,"$1,702,500"
 206,Mona Vale,"$1,698,500"
 207,Stanmore,"$1,693,500"
 208,Narrabeen,"$1,690,500"
 209,Montecollum,"$1,688,700"
 210,Nashua,"$1,685,000"
 211,Elanora Heights,"$1,684,800"
 212,Beecroft,"$1,681,500"
 213,Five Dock,"$1,675,500"
 214,Allambie Heights,"$1,672,800"
 215,Oakville,"$1,671,600"
 216,Wombarra,"$1,669,500"
 217,Eastwood,"$1,668,700"
 218,Phillip Bay,"$1,665,000"
 219,Forest Lodge,"$1,658,600"
 220,New Brighton,"$1,656,600"
 221,Port Hacking,"$1,654,600"
 222,South Turramurra,"$1,653,300"
 223,West Pennant Hills,"$1,646,400"
 224,Brighton Le Sands,"$1,645,100"
 225,West Pymble,"$1,642,300"
 226,Newcastle East,"$1,641,600"
 227,Glenhaven,"$1,639,600"
 228,Sans Souci,"$1,639,400"
 229,Wallaroo,"$1,638,300"
 230,Pagewood,"$1,633,000"
 231,North Strathfield,"$1,632,500"
 232,East Ryde,"$1,632,300"
 233,Homebush,"$1,629,800"
 234,Denistone,"$1,626,200"
 235,La Perouse,"$1,622,300"
 236,Wheeler Heights,"$1,620,000"
 237,Kentlyn,"$1,608,300"
 238,North Ryde,"$1,608,200"
 239,Tintenbar,"$1,603,700"
 240,Belrose,"$1,593,200"
 241,Blakehurst,"$1,593,100"
 242,Matraville,"$1,590,400"
 243,Myocum,"$1,589,200"
 244,Matcham,"$1,586,200"
 245,Summer Hill,"$1,581,400"
 246,Berkshire Park,"$1,576,600"
 247,Monterey,"$1,573,300"
 248,Dulwich Hill,"$1,572,900"
 249,Razorback,"$1,572,100"
 250,Alexandria,"$1,570,600"
 251,Glenquarry,"$1,566,600"
 252,Caringbah South,"$1,561,000"
 253,Forestville,"$1,557,200"
 254,Croydon,"$1,556,000"
 255,Petersham,"$1,554,700"
 256,Coledale,"$1,552,100"
 257,Denistone East,"$1,552,000"
 258,Davidson,"$1,550,200"
 259,Frenchs Forest,"$1,549,700"
 260,Ryde,"$1,549,000"
 261,Eastgardens,"$1,543,500"
 262,Picketts Valley,"$1,540,000"
 263,Gerroa,"$1,538,100"
 264,Cromer,"$1,531,800"
 265,Brighton-le-sands,"$1,531,000"
 266,MacMasters Beach,"$1,530,200"
 267,Pyrmont,"$1,529,000"
 268,Barrengarry,"$1,528,300"
 269,Ashfield,"$1,528,000"
 270,Hardys Bay,"$1,525,000"
 271,Dolls Point,"$1,521,200"
 272,Chippendale,"$1,519,900"
 273,Alstonvale,"$1,518,300"
 274,Carss Park,"$1,516,600"
 275,Woolooware,"$1,516,400"
 276,Ashbury,"$1,511,800"
 277,Berrima,"$1,506,200"
 278,Byron Bay,"$1,498,000"
 279,Redfern,"$1,489,200"
 280,Coalcliff,"$1,487,500"
 281,Enfield,"$1,487,300"
 282,The Hill,"$1,482,600"
 283,Woolloomooloo,"$1,482,500"
 284,Orangeville,"$1,472,100"
 285,Jaspers Brush,"$1,470,000"
 286,Potts Hill,"$1,466,000"
 287,Wagstaffe,"$1,465,800"
 288,Hurlstone Park,"$1,465,000"
 289,Beacon Hill,"$1,463,400"
 290,Lewisham,"$1,461,900"
 291,Killcare,"$1,455,800"
 292,Hurstville Grove,"$1,451,000"
 293,North Narrabeen,"$1,449,100"
 294,Narraweena,"$1,447,600"
 295,Melrose Park,"$1,447,100"
 296,Denistone West,"$1,447,000"
 297,Newtown,"$1,444,500"
 298,Daceyville,"$1,439,800"
 299,Terrey Hills,"$1,436,000"
 300,North Epping,"$1,431,800"
 301,Darlington,"$1,431,400"
 302,Earlwood,"$1,430,500"
 302,West Ryde,"$1,430,500"
 304,Erskineville,"$1,429,900"
 305,Mays Hill,"$1,428,300"
 306,Marrickville,"$1,421,700"
 307,Cherrybrook,"$1,420,500"
 308,Castle Hill,"$1,420,000"
 308,Pheasants Nest,"$1,420,000"
 310,Werri Beach,"$1,417,600"
 311,Castlereagh,"$1,413,300"
 312,Warriewood,"$1,412,700"
 313,Arcadia,"$1,412,500"
 314,Leichhardt,"$1,406,300"
 315,Eastlakes,"$1,397,600"
 316,Black Hill,"$1,393,300"
 316,Broughton Vale,"$1,393,300"
 318,Camperdown,"$1,390,100"
 319,Broken Head,"$1,390,000"
 320,Enmore,"$1,389,600"
 321,Ramsgate,"$1,388,800"
 322,South Maroota,"$1,385,600"
 323,Bellawongarah,"$1,383,300"
 324,Minto Heights,"$1,378,300"
 325,Homebush West,"$1,376,600"
 326,Grasmere,"$1,374,800"
 327,Oatlands,"$1,363,800"
 328,Hurstville,"$1,363,600"
 329,Galston,"$1,359,600"
 330,Woodlands,"$1,358,300"
 331,Stanwell Park,"$1,357,800"
 332,Bywong,"$1,356,000"
 333,Carlingford,"$1,355,900"
 334,Jeir,"$1,355,000"
 334,Long Point,"$1,355,000"
 336,Westleigh,"$1,351,000"
 337,Zetland,"$1,348,700"
 338,Eureka,"$1,348,300"
 339,Mcdougalls Hill,"$1,347,500"
 340,Croydon Park,"$1,338,500"
 341,Carlton,"$1,338,100"
 342,Gymea Bay,"$1,334,400"
 343,Fishermans Bay,"$1,329,300"
 344,Pennant Hills,"$1,329,100"
 345,Botany,"$1,326,800"
 346,The Junction,"$1,324,300"
 347,Kurnell,"$1,319,200"
 348,Kyeemagh,"$1,314,900"
 349,Wedderburn,"$1,312,500"
 350,Lakesland,"$1,308,300"
 351,Meadowbank,"$1,302,300"
 352,Vineyard,"$1,300,000"
 353,Springrange,"$1,298,700"
 354,Brookvale,"$1,298,500"
 355,Tomago,"$1,296,600"
 356,St Huberts Island,"$1,293,600"
 357,Coolangatta,"$1,293,300"
 358,St Peters,"$1,283,200"
 359,Grays Point,"$1,280,800"
 360,Harris Park,"$1,277,900"
 361,Jilliby,"$1,276,600"
 362,Oyster Bay,"$1,276,300"
 363,Alfords Point,"$1,276,200"
 364,Mascot,"$1,272,700"
 365,Hyams Beach,"$1,271,600"
 365,Kulnura,"$1,271,600"
 367,Beverley Park,"$1,268,400"
 368,Crabbes Creek,"$1,263,300"
 369,Suffolk Park,"$1,260,100"
 370,Merewether,"$1,250,300"
 371,Sylvania Waters,"$1,247,200"
 372,Lugarno,"$1,246,200"
 373,Bardwell Park,"$1,246,100"
 374,Bonnet Bay,"$1,245,600"
 375,Como,"$1,245,500"
 376,Austinmer,"$1,245,300"
 377,Penrose,"$1,241,600"
 378,Rydalmere,"$1,236,500"
 379,Normanhurst,"$1,236,100"
 380,Pitt Town,"$1,235,300"
 381,Illawong,"$1,235,200"
 382,Waterloo,"$1,233,500"
 383,North Rocks,"$1,228,800"
 384,Pearl Beach,"$1,226,600"
 385,Killcare Heights,"$1,226,400"
 386,Hillsdale,"$1,225,000"
 387,Beaconsfield,"$1,223,800"
 388,Liberty Grove,"$1,223,300"
 389,Clemton Park,"$1,213,200"
 390,Patonga,"$1,211,700"
 391,Splitters Creek,"$1,211,600"
 392,Bexley North,"$1,210,900"
 393,Binna Burra,"$1,210,000"
 394,Kellyville,"$1,206,600"
 395,Rockdale,"$1,206,500"
 396,Woronora,"$1,203,300"
 397,Canterbury,"$1,203,200"
 398,Telopea,"$1,198,100"
 399,Newington,"$1,197,900"
 400,Beverly Hills,"$1,186,800"
 401,Mount Lewis,"$1,182,100"
 402,Tempe,"$1,181,400"
 403,Penshurst,"$1,180,500"
 404,Fountaindale,"$1,180,000"
 405,Barden Ridge,"$1,178,300"
 406,Waitara,"$1,178,100"
 407,Beaumont Hills,"$1,177,600"
 408,Arncliffe,"$1,174,900"
 409,Wentworth Point,"$1,173,600"
 410,Thirroul,"$1,173,400"
 411,Kingsgrove,"$1,171,300"
 412,Dundas,"$1,168,700"
 413,Royalla,"$1,165,000"
 414,Sydenham,"$1,164,500"
 415,Peakhurst Heights,"$1,162,000"
 416,Marsfield,"$1,160,700"
 417,Bexley,"$1,159,700"
 418,Knockrow,"$1,156,600"
 418,Ultimo,"$1,156,600"
 420,Pretty Beach,"$1,155,800"
 421,Strathfield South,"$1,154,800"
