Local Government Area,Offence type,Jan - Dec 2015,Jan - Dec 2016,Jan - Dec 2017,Jan - Dec 2018,Jan - Dec 2019,"Rate per 100,000 population Jan - Dec 2019",2 year trend and annual percent change (Jan 2018-Dec 2019),5 year trend and average annual percent change (Jan 2015-Dec 2019)
Coonamble,Motor vehicle theft,11,15,16,17,25,622.8,nc,nc
Coonamble,Steal from motor vehicle,69,65,53,49,44,1096.2,Stable,Down 10.6%
Coonamble,Steal from retail store,25,31,15,27,11,274,nc,nc
Coonamble,Steal from dwelling,39,42,26,39,43,1071.3,Stable,Stable
Coonamble,Steal from person,6,1,2,7,3,74.7,nc,nc
Coonamble,Stock theft,7,2,3,4,3,74.7,nc,nc
Coonamble,Fraud,21,21,25,29,37,921.8,Stable,Stable
Coonamble,Other theft,39,30,36,25,22,548.1,Stable,Down 13.3%
Coonamble,Arson,21,12,17,24,17,423.5,nc,nc
Coonamble,Malicious damage to property,128,116,106,133,113,2815.1,Stable,Stable
Coonamble,Possession and/or use of cocaine,0,0,0,0,0,nc,nc,nc
Coonamble,Possession and/or use of narcotics,4,5,0,0,0,nc,nc,nc
Coonamble,Possession and/or use of cannabis,25,17,18,21,27,672.6,Stable,nc
Coonamble,Possession and/or use of amphetamines,8,6,7,17,25,622.8,nc,nc
Coonamble,Possession and/or use of ecstasy,0,0,1,1,0,nc,nc,nc
Coonamble,Possession and/or use of other drugs,36,37,6,10,7,174.4,nc,nc
Coonamble,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Coonamble,"Dealing, trafficking in narcotics",0,1,0,0,0,nc,nc,nc
Coonamble,"Dealing, trafficking in cannabis",25,3,0,1,5,124.6,nc,nc
Coonamble,"Dealing, trafficking in amphetamines",7,0,2,1,1,24.9,nc,nc
Coonamble,"Dealing, trafficking in ecstasy",0,2,1,1,0,nc,nc,nc
Coonamble,"Dealing, trafficking in other drugs",0,0,0,1,0,nc,nc,nc
Coonamble,Cultivating cannabis,3,1,2,3,1,24.9,nc,nc
Coonamble,Manufacture drug,0,0,0,0,0,nc,nc,nc
Coonamble,Importing drugs,0,0,0,0,0,nc,nc,nc
Coonamble,Other drug offences,4,1,11,7,3,74.7,nc,nc
Coonamble,Prohibited and regulated weapons offences,28,22,27,22,67,1669.2,Up 204.5%,Stable
Coonamble,Trespass,46,43,28,31,40,996.5,Up 29.0%,Stable
Coonamble,Offensive conduct,14,10,4,21,0,nc,nc,nc
Coonamble,Offensive language,17,4,14,7,4,99.7,nc,nc
Coonamble,Criminal intent,7,8,11,10,22,548.1,nc,nc
Coonamble,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Coonamble,Liquor offences,11,6,8,18,1,24.9,nc,nc
Coonamble,Pornography offences,1,0,0,0,1,24.9,nc,nc
Coonamble,Prostitution offences,0,0,0,0,0,nc,nc,nc
Coonamble,Escape custody,2,1,2,1,2,49.8,nc,nc
Coonamble,Breach Apprehended Violence Order,39,35,49,54,104,2590.9,Up 92.6%,Up 27.8%
Coonamble,Breach bail conditions,64,69,83,95,213,5306.4,Up 124.2%,Up 35.1%
Coonamble,Fail to appear,0,0,0,1,0,nc,nc,nc
Coonamble,Resist or hinder officer,9,3,5,14,18,448.4,nc,nc
Coonamble,Other offences against justice procedures,3,0,0,0,3,74.7,nc,nc
Coonamble,Transport regulatory offences,0,0,0,0,0,nc,nc,nc
Coonamble,Other offences,36,35,43,13,29,722.5,nc,nc
Cootamundra-Gundagai,Murder *,0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,Attempted murder,1,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,Manslaughter *,0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,Domestic violence related assault,55,48,56,66,53,470.7,Stable,Stable
Cootamundra-Gundagai,Non-domestic violence related assault,48,39,43,55,39,346.4,Stable,Stable
Cootamundra-Gundagai,Assault Police,4,1,1,2,6,53.3,nc,nc
Cootamundra-Gundagai,Sexual assault,16,9,13,12,10,88.8,nc,nc
Cootamundra-Gundagai,"Indecent assault, act of indecency and other sexual offences",21,10,12,21,11,97.7,nc,nc
Cootamundra-Gundagai,Abduction and kidnapping,2,0,0,0,1,8.9,nc,nc
Cootamundra-Gundagai,Robbery without a weapon,0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,Robbery with a weapon not a firearm,2,0,1,0,1,8.9,nc,nc
Cootamundra-Gundagai,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,"Intimidation, stalking and harassment",67,48,68,62,55,488.5,Stable,Stable
Cootamundra-Gundagai,Other offences against the person,4,2,1,1,0,nc,nc,nc
Cootamundra-Gundagai,Break and enter dwelling,22,35,42,38,28,248.7,Stable,Stable
Cootamundra-Gundagai,Break and enter non-dwelling,12,13,12,19,28,248.7,nc,nc
Cootamundra-Gundagai,Receiving or handling stolen goods,6,5,12,16,11,97.7,nc,nc
Cootamundra-Gundagai,Motor vehicle theft,5,12,10,14,16,142.1,nc,nc
Cootamundra-Gundagai,Steal from motor vehicle,29,31,40,29,19,168.7,nc,nc
Cootamundra-Gundagai,Steal from retail store,13,9,16,28,18,159.9,nc,nc
Cootamundra-Gundagai,Steal from dwelling,30,41,36,38,37,328.6,Stable,Stable
Cootamundra-Gundagai,Steal from person,1,0,1,1,2,17.8,nc,nc
Cootamundra-Gundagai,Stock theft,8,5,5,9,6,53.3,nc,nc
Cootamundra-Gundagai,Fraud,90,112,98,97,75,666.1,Stable,Stable
Cootamundra-Gundagai,Other theft,29,29,34,36,34,302,Stable,Stable
Cootamundra-Gundagai,Arson,9,2,5,3,6,53.3,nc,nc
Cootamundra-Gundagai,Malicious damage to property,106,115,97,119,73,648.3,Stable,Stable
Cootamundra-Gundagai,Possession and/or use of cocaine,0,0,0,1,2,17.8,nc,nc
Cootamundra-Gundagai,Possession and/or use of narcotics,0,0,1,4,1,8.9,nc,nc
Cootamundra-Gundagai,Possession and/or use of cannabis,34,45,26,46,28,248.7,Stable,Stable
Cootamundra-Gundagai,Possession and/or use of amphetamines,5,10,8,14,22,195.4,nc,nc
Cootamundra-Gundagai,Possession and/or use of ecstasy,1,1,1,0,1,8.9,nc,nc
Cootamundra-Gundagai,Possession and/or use of other drugs,3,7,4,12,5,44.4,nc,nc
Cootamundra-Gundagai,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,"Dealing, trafficking in cannabis",1,1,6,3,1,8.9,nc,nc
Cootamundra-Gundagai,"Dealing, trafficking in amphetamines",11,2,8,2,3,26.6,nc,nc
Cootamundra-Gundagai,"Dealing, trafficking in ecstasy",1,0,0,1,1,8.9,nc,nc
Cootamundra-Gundagai,"Dealing, trafficking in other drugs",0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,Cultivating cannabis,4,4,4,4,4,35.5,nc,nc
Cootamundra-Gundagai,Manufacture drug,0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,Importing drugs,0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,Other drug offences,7,9,5,12,5,44.4,nc,nc
Cootamundra-Gundagai,Prohibited and regulated weapons offences,33,16,24,55,104,923.6,Up 89.1%,nc
Cootamundra-Gundagai,Trespass,21,25,21,29,16,142.1,nc,nc
Cootamundra-Gundagai,Offensive conduct,12,13,11,13,14,124.3,nc,nc
Cootamundra-Gundagai,Offensive language,13,17,13,20,10,88.8,nc,nc
Cootamundra-Gundagai,Criminal intent,0,2,5,1,4,35.5,nc,nc
Cootamundra-Gundagai,Betting and gaming offences,1,0,0,2,0,nc,nc,nc
Cootamundra-Gundagai,Liquor offences,16,8,15,45,38,337.5,Down 15.6%,nc
Cootamundra-Gundagai,Pornography offences,3,2,6,3,4,35.5,nc,nc
Cootamundra-Gundagai,Prostitution offences,0,0,0,0,0,nc,nc,nc
Cootamundra-Gundagai,Escape custody,0,0,0,1,1,8.9,nc,nc
Cootamundra-Gundagai,Breach Apprehended Violence Order,40,45,44,45,44,390.8,Stable,Stable
Cootamundra-Gundagai,Breach bail conditions,40,55,43,81,52,461.8,Stable,Stable
Cootamundra-Gundagai,Fail to appear,1,0,0,1,0,nc,nc,nc
Cootamundra-Gundagai,Resist or hinder officer,11,9,9,9,11,97.7,nc,nc
Cootamundra-Gundagai,Other offences against justice procedures,2,0,0,0,10,88.8,nc,nc
Cootamundra-Gundagai,Transport regulatory offences,3,1,2,10,4,35.5,nc,nc
Cootamundra-Gundagai,Other offences,26,32,32,39,37,328.6,Stable,Stable
Cowra,Murder *,0,0,0,0,0,nc,nc,nc
Cowra,Attempted murder,0,0,0,0,0,nc,nc,nc
Cowra,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Cowra,Manslaughter *,0,0,0,0,0,nc,nc,nc
Cowra,Domestic violence related assault,78,72,63,56,61,477.8,Stable,Stable
Cowra,Non-domestic violence related assault,110,88,88,81,65,509.1,Stable,Down 12.3%
Cowra,Assault Police,9,8,3,5,5,39.2,nc,nc
Cowra,Sexual assault,12,12,23,9,4,31.3,nc,nc
Cowra,"Indecent assault, act of indecency and other sexual offences",18,19,23,21,16,125.3,nc,nc
Cowra,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Cowra,Robbery without a weapon,1,2,1,3,1,7.8,nc,nc
Cowra,Robbery with a firearm,0,1,0,0,0,nc,nc,nc
Cowra,Robbery with a weapon not a firearm,0,1,0,1,1,7.8,nc,nc
Cowra,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Cowra,"Intimidation, stalking and harassment",100,100,86,74,73,571.8,Stable,Stable
Cowra,Other offences against the person,5,7,0,1,3,23.5,nc,nc
Cowra,Break and enter dwelling,122,162,120,79,101,791.1,Stable,Stable
Cowra,Break and enter non-dwelling,33,38,33,40,49,383.8,Stable,Stable
Cowra,Receiving or handling stolen goods,9,12,6,6,7,54.8,nc,nc
Cowra,Motor vehicle theft,20,32,12,21,44,344.6,Stable,nc
Cowra,Steal from motor vehicle,66,77,63,41,75,587.5,Stable,Stable
Cowra,Steal from retail store,33,29,25,38,28,219.3,Stable,Stable
Cowra,Steal from dwelling,67,65,59,35,55,430.8,Stable,Down 4.8%
Cowra,Steal from person,3,2,4,3,4,31.3,nc,nc
Cowra,Stock theft,4,8,5,3,6,47,nc,nc
Cowra,Fraud,50,57,70,50,72,564,Stable,Up 9.5%
Cowra,Other theft,57,65,37,39,38,297.6,Stable,Down 9.6%
Cowra,Arson,19,12,8,13,14,109.7,nc,nc
Cowra,Malicious damage to property,276,197,148,170,144,1127.9,Stable,Down 15.0%
Cowra,Possession and/or use of cocaine,0,0,0,0,0,nc,nc,nc
Cowra,Possession and/or use of narcotics,1,0,0,1,0,nc,nc,nc
Cowra,Possession and/or use of cannabis,27,26,13,17,18,141,nc,nc
Cowra,Possession and/or use of amphetamines,17,7,3,5,6,47,nc,nc
Cowra,Possession and/or use of ecstasy,0,1,0,0,0,nc,nc,nc
Cowra,Possession and/or use of other drugs,7,2,0,1,2,15.7,nc,nc
Cowra,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Cowra,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Cowra,"Dealing, trafficking in cannabis",0,0,1,1,1,7.8,nc,nc
Cowra,"Dealing, trafficking in amphetamines",18,0,1,1,0,nc,nc,nc
Cowra,"Dealing, trafficking in ecstasy",1,0,0,2,0,nc,nc,nc
Cowra,"Dealing, trafficking in other drugs",1,0,0,0,0,nc,nc,nc
Cowra,Cultivating cannabis,1,3,2,0,0,nc,nc,nc
Cowra,Manufacture drug,2,0,0,6,0,nc,nc,nc
Cowra,Importing drugs,0,0,0,0,0,nc,nc,nc
Cowra,Other drug offences,4,7,3,6,11,86.2,nc,nc
Cowra,Prohibited and regulated weapons offences,42,36,29,50,55,430.8,Stable,Stable
Cowra,Trespass,72,89,42,32,45,352.5,Up 40.6%,Down 11.1%
Cowra,Offensive conduct,22,16,19,9,5,39.2,nc,nc
Cowra,Offensive language,11,16,12,5,4,31.3,nc,nc
Cowra,Criminal intent,2,4,0,3,3,23.5,nc,nc
Cowra,Betting and gaming offences,0,9,2,0,0,nc,nc,nc
Cowra,Liquor offences,13,10,17,5,7,54.8,nc,nc
Cowra,Pornography offences,0,0,1,1,1,7.8,nc,nc
Cowra,Prostitution offences,0,0,0,0,0,nc,nc,nc
Cowra,Escape custody,0,0,1,0,0,nc,nc,nc
Cowra,Breach Apprehended Violence Order,63,63,40,57,57,446.5,Stable,Stable
Cowra,Breach bail conditions,67,52,42,52,39,305.5,Stable,Stable
Cowra,Fail to appear,0,0,0,0,0,nc,nc,nc
Cowra,Resist or hinder officer,25,25,19,12,11,86.2,nc,nc
Cowra,Other offences against justice procedures,1,0,1,1,1,7.8,nc,nc
Cowra,Transport regulatory offences,1,1,0,0,0,nc,nc,nc
Cowra,Other offences,47,39,39,43,24,188,Down 44.2%,Down 15.5%
Cumberland,Murder *,2,2,2,2,6,2.5,nc,nc
Cumberland,Attempted murder,2,0,3,3,2,0.8,nc,nc
Cumberland,"Murder accessory, conspiracy",0,0,1,0,0,nc,nc,nc
Cumberland,Manslaughter *,0,0,1,1,0,nc,nc,nc
Cumberland,Domestic violence related assault,907,864,834,893,924,390,Stable,Stable
Cumberland,Non-domestic violence related assault,755,739,804,794,795,335.6,Stable,Stable
Cumberland,Assault Police,61,41,38,33,47,19.8,Stable,Stable
Cumberland,Sexual assault,102,111,140,102,89,37.6,Stable,Stable
Cumberland,"Indecent assault, act of indecency and other sexual offences",146,149,166,145,161,68,Stable,Stable
Cumberland,Abduction and kidnapping,15,11,10,7,10,4.2,nc,nc
Cumberland,Robbery without a weapon,69,58,90,68,65,27.4,Stable,Stable
Cumberland,Robbery with a firearm,7,15,6,10,12,5.1,nc,nc
Cumberland,Robbery with a weapon not a firearm,45,31,40,25,38,16,Stable,Stable
Cumberland,Blackmail and extortion,11,10,4,10,4,1.7,nc,nc
Cumberland,"Intimidation, stalking and harassment",844,874,859,938,985,415.8,Stable,Up 3.9%
Cumberland,Other offences against the person,30,40,16,23,28,11.8,Stable,nc
Cumberland,Break and enter dwelling,895,878,827,722,715,301.8,Stable,Down 5.5%
Cumberland,Break and enter non-dwelling,216,220,228,187,185,78.1,Stable,Stable
Cumberland,Receiving or handling stolen goods,212,216,236,208,260,109.8,Stable,Stable
Cumberland,Motor vehicle theft,483,397,417,397,455,192.1,Stable,Stable
Cumberland,Steal from motor vehicle,1163,1151,1172,1248,1130,477,Stable,Stable
Cumberland,Steal from retail store,431,391,417,400,431,181.9,Stable,Stable
Cumberland,Steal from dwelling,507,473,404,402,406,171.4,Stable,Down 5.4%
Cumberland,Steal from person,149,156,103,88,82,34.6,Stable,Down 13.9%
Cumberland,Stock theft,2,0,1,0,1,0.4,nc,nc
Cumberland,Fraud,2001,1641,1850,1950,1922,811.3,Stable,Stable
Cumberland,Other theft,625,570,576,614,555,234.3,Stable,Stable
Cumberland,Arson,58,96,70,61,66,27.9,Stable,Stable
Cumberland,Malicious damage to property,1281,1270,1196,1151,1184,499.8,Stable,Down 1.9%
Cumberland,Possession and/or use of cocaine,25,32,27,34,46,19.4,Up 35.3%,Up 16.5%
Cumberland,Possession and/or use of narcotics,29,38,21,24,33,13.9,Stable,Stable
Cumberland,Possession and/or use of cannabis,601,689,813,610,601,253.7,Stable,Stable
Cumberland,Possession and/or use of amphetamines,158,214,162,168,229,96.7,Up 36.3%,Stable
Cumberland,Possession and/or use of ecstasy,13,20,16,10,5,2.1,nc,nc
Cumberland,Possession and/or use of other drugs,165,180,177,143,201,84.8,Up 40.6%,Stable
Cumberland,"Dealing, trafficking in cocaine",17,15,19,25,26,11,Stable,nc
Cumberland,"Dealing, trafficking in narcotics",9,13,7,4,6,2.5,nc,nc
Cumberland,"Dealing, trafficking in cannabis",17,21,19,23,13,5.5,nc,nc
Cumberland,"Dealing, trafficking in amphetamines",32,42,18,25,15,6.3,nc,nc
Cumberland,"Dealing, trafficking in ecstasy",2,5,8,1,7,3,nc,nc
Cumberland,"Dealing, trafficking in other drugs",6,4,3,2,2,0.8,nc,nc
Cumberland,Cultivating cannabis,11,21,22,26,28,11.8,Stable,nc
Cumberland,Manufacture drug,6,0,1,4,2,0.8,nc,nc
Cumberland,Importing drugs,2,2,4,10,9,3.8,nc,nc
Cumberland,Other drug offences,97,104,83,84,94,39.7,Stable,Stable
Cumberland,Prohibited and regulated weapons offences,276,300,259,301,358,151.1,Stable,Up 6.7%
Cumberland,Trespass,164,214,178,164,181,76.4,Stable,Stable
Cumberland,Offensive conduct,42,43,24,30,34,14.4,Stable,Stable
Cumberland,Offensive language,55,42,37,32,38,16,Stable,Stable
Cumberland,Criminal intent,75,89,77,70,85,35.9,Stable,Stable
Cumberland,Betting and gaming offences,0,1,2,0,0,nc,nc,nc
Cumberland,Liquor offences,118,157,101,166,160,67.5,Stable,Stable
Cumberland,Pornography offences,13,11,7,15,19,8,nc,nc
Cumberland,Prostitution offences,1,0,1,1,0,nc,nc,nc
Cumberland,Escape custody,4,2,3,1,3,1.3,nc,nc
Cumberland,Breach Apprehended Violence Order,275,332,274,311,307,129.6,Stable,Stable
Cumberland,Breach bail conditions,1122,958,1107,1076,1351,570.3,Up 25.6%,Up 4.8%
Cumberland,Fail to appear,20,5,11,29,12,5.1,nc,nc
Cumberland,Resist or hinder officer,115,102,95,89,112,47.3,Up 25.8%,Stable
Cumberland,Other offences against justice procedures,12,15,12,17,33,13.9,nc,nc
Cumberland,Transport regulatory offences,5333,1998,3346,3181,1940,818.9,Down 39.0%,Down 22.3%
Cumberland,Other offences,298,283,315,255,255,107.6,Stable,Down 3.8%
Dubbo Regional,Murder *,1,1,0,0,0,nc,nc,nc
Dubbo Regional,Attempted murder,0,0,0,0,0,nc,nc,nc
Dubbo Regional,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Dubbo Regional,Manslaughter *,0,0,0,0,0,nc,nc,nc
Dubbo Regional,Domestic violence related assault,419,404,346,572,693,1301.7,Up 21.2%,Up 13.4%
Dubbo Regional,Non-domestic violence related assault,325,385,414,416,416,781.4,Stable,Up 6.4%
Dubbo Regional,Assault Police,20,16,20,55,55,103.3,Stable,nc
Dubbo Regional,Sexual assault,76,82,79,83,72,135.2,Stable,Stable
Dubbo Regional,"Indecent assault, act of indecency and other sexual offences",94,103,102,117,94,176.6,Stable,Stable
Dubbo Regional,Abduction and kidnapping,5,1,3,8,3,5.6,nc,nc
Dubbo Regional,Robbery without a weapon,11,9,8,11,7,13.1,nc,nc
Dubbo Regional,Robbery with a firearm,0,3,0,0,2,3.8,nc,nc
Dubbo Regional,Robbery with a weapon not a firearm,10,12,10,18,10,18.8,nc,nc
Dubbo Regional,Blackmail and extortion,0,0,0,1,0,nc,nc,nc
Dubbo Regional,"Intimidation, stalking and harassment",382,383,424,679,702,1318.6,Stable,Up 16.4%
Dubbo Regional,Other offences against the person,24,10,11,16,23,43.2,nc,nc
Dubbo Regional,Break and enter dwelling,675,963,613,666,521,978.6,Down 21.8%,Down 6.3%
Dubbo Regional,Break and enter non-dwelling,245,250,144,258,169,317.4,Stable,Down 8.9%
Dubbo Regional,Receiving or handling stolen goods,79,94,72,136,105,197.2,Stable,Stable
Dubbo Regional,Motor vehicle theft,185,308,221,210,237,445.2,Stable,Stable
Dubbo Regional,Steal from motor vehicle,760,997,622,760,809,1519.5,Stable,Stable
Dubbo Regional,Steal from retail store,315,395,339,327,379,711.9,Up 15.9%,Stable
Dubbo Regional,Steal from dwelling,282,376,257,263,282,529.7,Stable,Stable
Dubbo Regional,Steal from person,42,56,40,49,47,88.3,Stable,Stable
Dubbo Regional,Stock theft,7,10,9,7,9,16.9,nc,nc
Dubbo Regional,Fraud,311,347,379,374,443,832.1,Stable,Up 9.2%
Dubbo Regional,Other theft,326,312,260,289,243,456.4,Stable,Down 7.1%
Dubbo Regional,Arson,115,142,167,169,138,259.2,Down 18.3%,Stable
Dubbo Regional,Malicious damage to property,1090,1072,977,1181,1134,2130,Stable,Stable
Dubbo Regional,Possession and/or use of cocaine,0,0,4,9,5,9.4,nc,nc
Dubbo Regional,Possession and/or use of narcotics,1,2,2,5,14,26.3,nc,nc
Dubbo Regional,Possession and/or use of cannabis,138,114,126,173,150,281.7,Stable,Stable
Dubbo Regional,Possession and/or use of amphetamines,71,79,62,105,109,204.7,Stable,Up 11.3%
Dubbo Regional,Possession and/or use of ecstasy,3,8,3,6,9,16.9,nc,nc
Dubbo Regional,Possession and/or use of other drugs,36,25,21,47,46,86.4,Stable,Up 6.3%
Dubbo Regional,"Dealing, trafficking in cocaine",0,0,1,1,5,9.4,nc,nc
Dubbo Regional,"Dealing, trafficking in narcotics",0,0,0,0,2,3.8,nc,nc
Dubbo Regional,"Dealing, trafficking in cannabis",3,2,4,8,132,247.9,nc,nc
Dubbo Regional,"Dealing, trafficking in amphetamines",9,25,5,16,7,13.1,nc,nc
Dubbo Regional,"Dealing, trafficking in ecstasy",0,1,2,1,4,7.5,nc,nc
Dubbo Regional,"Dealing, trafficking in other drugs",0,2,2,2,1,1.9,nc,nc
Dubbo Regional,Cultivating cannabis,0,3,6,7,4,7.5,nc,nc
Dubbo Regional,Manufacture drug,1,0,1,0,0,nc,nc,nc
Dubbo Regional,Importing drugs,0,0,0,0,0,nc,nc,nc
Dubbo Regional,Other drug offences,45,24,14,28,50,93.9,Up 78.6%,nc
Dubbo Regional,Prohibited and regulated weapons offences,134,204,195,248,286,537.2,Stable,Up 20.9%
Dubbo Regional,Trespass,167,182,147,216,169,317.4,Stable,Stable
Dubbo Regional,Offensive conduct,74,64,42,57,42,78.9,Stable,Down 13.2%
Dubbo Regional,Offensive language,56,25,28,50,28,52.6,Down 44.0%,Stable
Dubbo Regional,Criminal intent,37,45,47,112,105,197.2,Stable,Up 29.8%
Dubbo Regional,Betting and gaming offences,0,2,2,0,0,nc,nc,nc
Dubbo Regional,Liquor offences,74,54,40,51,63,118.3,Stable,Stable
Dubbo Regional,Pornography offences,7,7,12,6,4,7.5,nc,nc
Dubbo Regional,Prostitution offences,0,0,0,0,0,nc,nc,nc
Dubbo Regional,Escape custody,2,4,3,2,4,7.5,nc,nc
Dubbo Regional,Breach Apprehended Violence Order,211,230,206,380,492,924.1,Up 29.5%,Up 23.6%
Dubbo Regional,Breach bail conditions,421,662,659,986,1260,2366.6,Up 27.8%,Up 31.5%
Dubbo Regional,Fail to appear,10,7,12,11,28,52.6,nc,nc
Dubbo Regional,Resist or hinder officer,49,72,58,123,131,246.1,Stable,Up 27.9%
Dubbo Regional,Other offences against justice procedures,5,5,0,7,25,47,nc,nc
Dubbo Regional,Transport regulatory offences,17,28,29,15,4,7.5,nc,nc
Dubbo Regional,Other offences,134,93,108,181,114,214.1,Down 37.0%,Stable
Dungog,Murder *,0,0,0,0,0,nc,nc,nc
Dungog,Attempted murder,0,0,0,0,1,10.7,nc,nc
Dungog,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Dungog,Manslaughter *,0,0,0,0,0,nc,nc,nc
Dungog,Domestic violence related assault,31,24,25,31,18,192.6,nc,nc
Dungog,Non-domestic violence related assault,14,32,25,20,31,331.7,Stable,nc
Dungog,Assault Police,0,0,0,1,1,10.7,nc,nc
Dungog,Sexual assault,8,7,6,8,8,85.6,nc,nc
Dungog,"Indecent assault, act of indecency and other sexual offences",7,10,11,9,5,53.5,nc,nc
Dungog,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Dungog,Robbery without a weapon,0,0,0,0,0,nc,nc,nc
Dungog,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Dungog,Robbery with a weapon not a firearm,0,0,0,0,0,nc,nc,nc
Dungog,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Dungog,"Intimidation, stalking and harassment",55,48,30,27,32,342.4,Stable,Down 12.7%
Dungog,Other offences against the person,2,0,0,0,2,21.4,nc,nc
Dungog,Break and enter dwelling,16,27,14,19,20,214,nc,nc
Dungog,Break and enter non-dwelling,8,23,10,6,16,171.2,nc,nc
Dungog,Receiving or handling stolen goods,0,1,1,0,1,10.7,nc,nc
Dungog,Motor vehicle theft,8,14,12,9,17,181.9,nc,nc
Dungog,Steal from motor vehicle,21,20,8,10,21,224.7,nc,nc
Dungog,Steal from retail store,5,2,1,1,11,117.7,nc,nc
Dungog,Steal from dwelling,21,15,24,18,17,181.9,nc,nc
Dungog,Steal from person,0,1,0,1,1,10.7,nc,nc
Dungog,Stock theft,1,3,0,0,1,10.7,nc,nc
Dungog,Fraud,23,17,24,25,33,353.1,Stable,nc
Dungog,Other theft,19,29,22,22,32,342.4,Stable,nc
Dungog,Arson,7,32,10,12,9,96.3,nc,nc
Dungog,Malicious damage to property,51,55,47,43,39,417.3,Stable,Stable
Dungog,Possession and/or use of cocaine,1,0,0,0,0,nc,nc,nc
Dungog,Possession and/or use of narcotics,0,0,0,0,0,nc,nc,nc
Dungog,Possession and/or use of cannabis,15,17,8,12,14,149.8,nc,nc
Dungog,Possession and/or use of amphetamines,3,1,0,1,2,21.4,nc,nc
Dungog,Possession and/or use of ecstasy,0,1,0,0,0,nc,nc,nc
Dungog,Possession and/or use of other drugs,1,1,0,2,2,21.4,nc,nc
Dungog,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Dungog,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Dungog,"Dealing, trafficking in cannabis",1,1,1,0,0,nc,nc,nc
Dungog,"Dealing, trafficking in amphetamines",1,1,0,1,0,nc,nc,nc
Dungog,"Dealing, trafficking in ecstasy",0,0,0,0,0,nc,nc,nc
Dungog,"Dealing, trafficking in other drugs",0,0,0,0,0,nc,nc,nc
Dungog,Cultivating cannabis,6,4,4,3,3,32.1,nc,nc
Dungog,Manufacture drug,0,0,0,0,0,nc,nc,nc
Dungog,Importing drugs,0,0,0,0,0,nc,nc,nc
Dungog,Other drug offences,2,3,0,0,0,nc,nc,nc
Dungog,Prohibited and regulated weapons offences,12,19,19,15,20,214,nc,nc
Dungog,Trespass,9,9,4,4,5,53.5,nc,nc
Dungog,Offensive conduct,1,5,2,1,0,nc,nc,nc
Dungog,Offensive language,0,1,3,1,2,21.4,nc,nc
Dungog,Criminal intent,0,1,0,0,0,nc,nc,nc
Dungog,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Dungog,Liquor offences,2,5,4,2,2,21.4,nc,nc
Dungog,Pornography offences,2,4,1,1,1,10.7,nc,nc
Dungog,Prostitution offences,0,0,0,0,0,nc,nc,nc
Dungog,Escape custody,0,0,0,0,0,nc,nc,nc
Dungog,Breach Apprehended Violence Order,22,12,12,4,11,117.7,nc,nc
Dungog,Breach bail conditions,8,5,11,7,9,96.3,nc,nc
Dungog,Fail to appear,0,0,0,0,0,nc,nc,nc
Dungog,Resist or hinder officer,1,3,2,4,3,32.1,nc,nc
Dungog,Other offences against justice procedures,0,1,1,1,2,21.4,nc,nc
Dungog,Transport regulatory offences,5,4,5,5,6,64.2,nc,nc
Dungog,Other offences,12,9,4,3,5,53.5,nc,nc
Edward River,Murder *,0,0,0,0,0,nc,nc,nc
Edward River,Attempted murder,0,0,0,0,0,nc,nc,nc
Edward River,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Edward River,Manslaughter *,0,0,0,0,1,11.1,nc,nc
Edward River,Domestic violence related assault,39,60,38,55,58,644.8,Stable,Stable
Edward River,Non-domestic violence related assault,41,26,42,29,29,322.4,Stable,Stable
