Local Government Area,Offence type,Jan - Dec 2015,Jan - Dec 2016,Jan - Dec 2017,Jan - Dec 2018,Jan - Dec 2019,"Rate per 100,000 population Jan - Dec 2019",2 year trend and annual percent change (Jan 2018-Dec 2019),5 year trend and average annual percent change (Jan 2015-Dec 2019)
Armidale Regional,Robbery without a weapon,10,4,10,7,3,9.8,nc,nc
Armidale Regional,Robbery with a firearm,0,0,1,0,0,nc,nc,nc
Armidale Regional,Robbery with a weapon not a firearm,13,5,8,11,8,26.1,nc,nc
Armidale Regional,Blackmail and extortion,0,0,0,1,0,nc,nc,nc
Armidale Regional,"Intimidation, stalking and harassment",141,140,140,175,201,654.6,Stable,Up 9.3%
Armidale Regional,Other offences against the person,10,13,7,16,17,55.4,nc,nc
Armidale Regional,Break and enter dwelling,464,296,278,293,273,889,Stable,Stable
Armidale Regional,Break and enter non-dwelling,121,167,100,80,115,374.5,Stable,Stable
Armidale Regional,Receiving or handling stolen goods,34,51,35,44,44,143.3,Stable,Stable
Armidale Regional,Motor vehicle theft,99,65,47,81,77,250.8,Stable,Stable
Armidale Regional,Steal from motor vehicle,281,512,223,360,302,983.5,Stable,Stable
Armidale Regional,Steal from retail store,105,166,180,135,145,472.2,Stable,Stable
Armidale Regional,Steal from dwelling,139,153,167,148,136,442.9,Stable,Stable
Armidale Regional,Steal from person,12,18,20,15,12,39.1,nc,nc
Armidale Regional,Stock theft,17,15,13,8,11,35.8,nc,nc
Armidale Regional,Fraud,127,255,172,190,163,530.8,Stable,Stable
Armidale Regional,Other theft,117,151,132,147,128,416.8,Stable,Stable
Armidale Regional,Arson,36,75,59,67,83,270.3,Stable,Up 23.2%
Armidale Regional,Malicious damage to property,487,672,469,419,432,1406.8,Stable,Stable
Armidale Regional,Possession and/or use of cocaine,1,0,0,2,1,3.3,nc,nc
Armidale Regional,Possession and/or use of narcotics,0,0,0,1,1,3.3,nc,nc
Armidale Regional,Possession and/or use of cannabis,107,151,77,77,103,335.4,Stable,Stable
Armidale Regional,Possession and/or use of amphetamines,27,42,23,22,37,120.5,Stable,Stable
Armidale Regional,Possession and/or use of ecstasy,1,1,7,2,2,6.5,nc,nc
Armidale Regional,Possession and/or use of other drugs,17,24,13,20,17,55.4,nc,nc
Armidale Regional,"Dealing, trafficking in cocaine",4,0,0,1,0,nc,nc,nc
Armidale Regional,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Armidale Regional,"Dealing, trafficking in cannabis",15,2,3,1,4,13,nc,nc
Armidale Regional,"Dealing, trafficking in amphetamines",9,10,0,8,4,13,nc,nc
Armidale Regional,"Dealing, trafficking in ecstasy",6,1,0,7,0,nc,nc,nc
Armidale Regional,"Dealing, trafficking in other drugs",0,1,0,0,0,nc,nc,nc
Armidale Regional,Cultivating cannabis,13,3,7,7,13,42.3,nc,nc
Armidale Regional,Manufacture drug,0,0,0,2,0,nc,nc,nc
Armidale Regional,Importing drugs,0,2,1,0,0,nc,nc,nc
Armidale Regional,Other drug offences,24,19,22,13,15,48.8,nc,nc
Armidale Regional,Prohibited and regulated weapons offences,74,87,95,78,121,394,Up 55.1%,Up 13.1%
Armidale Regional,Trespass,153,151,127,114,99,322.4,Stable,Down 10.3%
Armidale Regional,Offensive conduct,53,55,52,58,50,162.8,Stable,Stable
Armidale Regional,Offensive language,33,14,21,13,7,22.8,nc,nc
Armidale Regional,Criminal intent,25,15,15,16,18,58.6,nc,nc
Armidale Regional,Betting and gaming offences,1,0,2,1,1,3.3,nc,nc
Armidale Regional,Liquor offences,74,42,55,58,48,156.3,Stable,Stable
Armidale Regional,Pornography offences,1,4,3,5,6,19.5,nc,nc
Armidale Regional,Prostitution offences,0,0,0,0,0,nc,nc,nc
Armidale Regional,Escape custody,0,0,0,1,1,3.3,nc,nc
Armidale Regional,Breach Apprehended Violence Order,69,54,57,92,123,400.6,Up 33.7%,Up 15.5%
Armidale Regional,Breach bail conditions,90,82,63,85,92,299.6,Stable,Stable
Armidale Regional,Fail to appear,1,2,1,0,0,nc,nc,nc
Armidale Regional,Resist or hinder officer,32,23,14,27,22,71.6,Stable,nc
Armidale Regional,Other offences against justice procedures,1,1,0,4,1,3.3,nc,nc
Armidale Regional,Transport regulatory offences,1,4,4,1,1,3.3,nc,nc
Armidale Regional,Other offences,78,56,83,105,114,371.3,Stable,Up 10.0%
Ballina,Murder *,0,0,0,1,1,2.3,nc,nc
Ballina,Attempted murder,0,0,0,0,0,nc,nc,nc
Ballina,"Murder accessory, conspiracy",0,0,1,0,0,nc,nc,nc
Ballina,Manslaughter *,0,0,0,0,0,nc,nc,nc
Ballina,Domestic violence related assault,92,109,104,112,96,217.2,Stable,Stable
Ballina,Non-domestic violence related assault,151,137,184,159,137,309.9,Stable,Stable
Ballina,Assault Police,6,10,11,16,12,27.1,nc,nc
Ballina,Sexual assault,29,29,26,35,33,74.6,Stable,Stable
Ballina,"Indecent assault, act of indecency and other sexual offences",33,37,37,37,36,81.4,Stable,Stable
Ballina,Abduction and kidnapping,2,0,0,0,1,2.3,nc,nc
Ballina,Robbery without a weapon,6,4,4,3,2,4.5,nc,nc
Ballina,Robbery with a firearm,0,0,0,0,2,4.5,nc,nc
Ballina,Robbery with a weapon not a firearm,4,0,3,2,5,11.3,nc,nc
Ballina,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Ballina,"Intimidation, stalking and harassment",132,143,100,152,142,321.2,Stable,Stable
Ballina,Other offences against the person,2,4,3,3,4,9,nc,nc
Ballina,Break and enter dwelling,100,126,124,146,174,393.6,Stable,Up 14.9%
Ballina,Break and enter non-dwelling,64,92,89,82,66,149.3,Stable,Stable
Ballina,Receiving or handling stolen goods,9,20,33,34,51,115.4,Stable,nc
Ballina,Motor vehicle theft,28,40,76,69,44,99.5,Stable,Stable
Ballina,Steal from motor vehicle,157,217,253,242,159,359.7,Down 34.3%,Stable
Ballina,Steal from retail store,94,110,102,82,127,287.3,Up 54.9%,Stable
Ballina,Steal from dwelling,110,132,110,134,138,312.2,Stable,Stable
Ballina,Steal from person,13,13,15,8,9,20.4,nc,nc
Ballina,Stock theft,2,2,0,1,0,nc,nc,nc
Ballina,Fraud,171,215,193,209,196,443.4,Stable,Stable
Ballina,Other theft,171,181,177,165,155,350.6,Stable,Stable
Ballina,Arson,23,25,36,26,22,49.8,Stable,Stable
Ballina,Malicious damage to property,331,339,340,293,280,633.4,Stable,Stable
Ballina,Possession and/or use of cocaine,1,4,2,0,7,15.8,nc,nc
Ballina,Possession and/or use of narcotics,0,6,0,3,0,nc,nc,nc
Ballina,Possession and/or use of cannabis,78,98,77,79,92,208.1,Stable,Stable
Ballina,Possession and/or use of amphetamines,11,21,12,14,35,79.2,nc,nc
Ballina,Possession and/or use of ecstasy,1,3,2,4,8,18.1,nc,nc
Ballina,Possession and/or use of other drugs,5,10,9,12,12,27.1,nc,nc
Ballina,"Dealing, trafficking in cocaine",0,2,3,0,0,nc,nc,nc
Ballina,"Dealing, trafficking in narcotics",0,6,0,0,0,nc,nc,nc
Ballina,"Dealing, trafficking in cannabis",3,3,2,3,3,6.8,nc,nc
Ballina,"Dealing, trafficking in amphetamines",4,19,6,2,4,9,nc,nc
Ballina,"Dealing, trafficking in ecstasy",1,0,1,2,6,13.6,nc,nc
Ballina,"Dealing, trafficking in other drugs",1,1,0,17,1,2.3,nc,nc
Ballina,Cultivating cannabis,23,14,6,8,12,27.1,nc,nc
Ballina,Manufacture drug,0,0,0,1,0,nc,nc,nc
Ballina,Importing drugs,0,0,0,0,3,6.8,nc,nc
Ballina,Other drug offences,16,20,17,21,25,56.6,Stable,nc
Ballina,Prohibited and regulated weapons offences,36,65,29,68,112,253.3,Up 64.7%,Up 32.8%
Ballina,Trespass,31,47,46,39,60,135.7,Stable,Stable
Ballina,Offensive conduct,17,22,40,41,29,65.6,Stable,nc
Ballina,Offensive language,15,21,29,12,18,40.7,nc,nc
Ballina,Criminal intent,10,17,10,13,13,29.4,nc,nc
Ballina,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Ballina,Liquor offences,45,30,60,55,48,108.6,Stable,Stable
Ballina,Pornography offences,2,6,4,4,4,9,nc,nc
Ballina,Prostitution offences,0,0,0,0,0,nc,nc,nc
Ballina,Escape custody,1,1,0,0,0,nc,nc,nc
Ballina,Breach Apprehended Violence Order,71,86,68,79,93,210.4,Stable,Stable
Ballina,Breach bail conditions,98,125,120,129,144,325.7,Stable,Up 10.1%
Ballina,Fail to appear,4,0,3,1,0,nc,nc,nc
Ballina,Resist or hinder officer,23,23,28,25,36,81.4,Stable,Stable
Ballina,Other offences against justice procedures,1,4,6,2,3,6.8,nc,nc
Ballina,Transport regulatory offences,2,1,0,0,1,2.3,nc,nc
Ballina,Other offences,49,49,65,49,51,115.4,Stable,Stable
Balranald,Murder *,0,0,0,0,0,nc,nc,nc
Balranald,Attempted murder,0,0,0,0,0,nc,nc,nc
Balranald,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Balranald,Manslaughter *,0,0,0,0,0,nc,nc,nc
Balranald,Domestic violence related assault,10,5,6,11,10,nc,nc,nc
Balranald,Non-domestic violence related assault,5,14,14,12,10,nc,nc,nc
Balranald,Assault Police,3,0,1,2,0,nc,nc,nc
Balranald,Sexual assault,2,1,2,3,2,nc,nc,nc
Balranald,"Indecent assault, act of indecency and other sexual offences",3,3,0,1,2,nc,nc,nc
Balranald,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Balranald,Robbery without a weapon,0,0,0,0,0,nc,nc,nc
Balranald,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Balranald,Robbery with a weapon not a firearm,0,0,0,0,0,nc,nc,nc
Balranald,Blackmail and extortion,0,0,0,0,1,nc,nc,nc
Balranald,"Intimidation, stalking and harassment",24,10,15,9,11,nc,nc,nc
Balranald,Other offences against the person,0,0,0,0,0,nc,nc,nc
Balranald,Break and enter dwelling,9,8,5,13,8,nc,nc,nc
Balranald,Break and enter non-dwelling,8,10,7,7,7,nc,nc,nc
Balranald,Receiving or handling stolen goods,2,2,4,1,1,nc,nc,nc
Balranald,Motor vehicle theft,4,4,3,2,4,nc,nc,nc
Balranald,Steal from motor vehicle,4,7,7,11,8,nc,nc,nc
Balranald,Steal from retail store,1,2,0,0,0,nc,nc,nc
Balranald,Steal from dwelling,13,17,8,9,3,nc,nc,nc
Balranald,Steal from person,0,0,0,0,0,nc,nc,nc
Balranald,Stock theft,1,0,0,0,2,nc,nc,nc
Balranald,Fraud,14,4,5,11,19,nc,nc,nc
Balranald,Other theft,10,14,12,10,7,nc,nc,nc
Balranald,Arson,2,3,3,4,1,nc,nc,nc
Balranald,Malicious damage to property,16,23,30,32,22,nc,Stable,nc
Balranald,Possession and/or use of cocaine,0,0,0,1,0,nc,nc,nc
Balranald,Possession and/or use of narcotics,2,0,1,0,0,nc,nc,nc
Balranald,Possession and/or use of cannabis,12,5,11,13,12,nc,nc,nc
Balranald,Possession and/or use of amphetamines,4,3,1,4,6,nc,nc,nc
Balranald,Possession and/or use of ecstasy,0,0,0,0,0,nc,nc,nc
Balranald,Possession and/or use of other drugs,1,0,1,0,4,nc,nc,nc
Balranald,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Balranald,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Balranald,"Dealing, trafficking in cannabis",2,1,0,0,1,nc,nc,nc
Balranald,"Dealing, trafficking in amphetamines",0,0,0,1,1,nc,nc,nc
Balranald,"Dealing, trafficking in ecstasy",0,0,0,0,0,nc,nc,nc
Balranald,"Dealing, trafficking in other drugs",0,0,1,0,0,nc,nc,nc
Balranald,Cultivating cannabis,1,0,0,1,1,nc,nc,nc
Balranald,Manufacture drug,0,0,0,0,0,nc,nc,nc
Balranald,Importing drugs,0,0,0,0,0,nc,nc,nc
Balranald,Other drug offences,9,1,2,2,6,nc,nc,nc
Balranald,Prohibited and regulated weapons offences,22,13,7,21,19,nc,nc,nc
Balranald,Trespass,16,9,10,10,5,nc,nc,nc
Balranald,Offensive conduct,4,5,1,1,1,nc,nc,nc
Balranald,Offensive language,3,1,1,1,0,nc,nc,nc
Balranald,Criminal intent,1,0,1,0,2,nc,nc,nc
Balranald,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Balranald,Liquor offences,38,10,10,6,2,nc,nc,nc
Balranald,Pornography offences,0,0,0,0,0,nc,nc,nc
Balranald,Prostitution offences,0,0,0,0,0,nc,nc,nc
Balranald,Escape custody,0,0,0,0,0,nc,nc,nc
Balranald,Breach Apprehended Violence Order,9,2,2,4,6,nc,nc,nc
Balranald,Breach bail conditions,25,5,3,1,5,nc,nc,nc
Balranald,Fail to appear,0,0,1,0,0,nc,nc,nc
Balranald,Resist or hinder officer,8,1,3,1,0,nc,nc,nc
Balranald,Other offences against justice procedures,2,0,1,0,0,nc,nc,nc
Balranald,Transport regulatory offences,0,0,0,0,0,nc,nc,nc
Balranald,Other offences,15,9,9,11,7,nc,nc,nc
Bathurst Regional,Murder *,2,0,0,0,0,nc,nc,nc
Bathurst Regional,Attempted murder,0,0,0,0,0,nc,nc,nc
Bathurst Regional,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Bathurst Regional,Manslaughter *,0,0,0,0,1,2.3,nc,nc
Bathurst Regional,Domestic violence related assault,208,186,216,226,238,550.8,Stable,Up 3.4%
